atp1 atp2 c12                    c12_45                 old_rc12               source
OA   CH3  1.2178965067259558e-06 0.0                    2.076902916961151e-06  #atdhisto_c12
OA   CH2r 1.2178965067259558e-06 6.381454827742098e-07  2.4477866423199905e-06 #atdhisto_c12
OA   S    1.1692063028111693e-06 0.0                    1.1692063028111693e-06 #rc12
OA   SM   1.1128214538294811e-06 0.0                    1.1692063028111693e-06 #atdhisto_c12
OA   SH   5.801734210627211e-07  0.0                    1.1692063028111693e-06 #atdhisto_c12
OA   H    8.014267939679831e-10  1.927540226755784e-08  2.1427079643716717e-08 #atdhisto_c12
N    N    1.3869290966783295e-05 0.0                    8.75284823952248e-07   #atdhisto_c12
N    NT   1.4558184529108867e-06 7.013840414318058e-07  1.5074430911449656e-06 #atdhisto_c12
N    NL   2.6644993987597274e-06 0.0                    8.75284823952248e-07   #atdhisto_c12
N    NR   6.381454827742098e-07  5.27066068361103e-07   1.1482411765953813e-06 #atdhisto_c12
N    NZ   1.7356754565546296e-06 0.0                    8.75284823952248e-07   #atdhisto_c12
N    NE   3.421320847663108e-06  1.59011205135462e-06   8.75284823952248e-07   #atdhisto_c12
N    C    3.421320847663108e-06  4.339756224213911e-07  1.508127506152659e-06  #atdhisto_c12
N    CR   4.37074965270138e-06   9.271725969950735e-07  1.508127506152659e-06  #atdhisto_c12
N    CS   2.248809725327641e-06  8.454178454694858e-07  1.508127506152659e-06  #atdhisto_c12
N    CZ   4.737322988859966e-06  0.0                    1.508127506152659e-06  #atdhisto_c12
N    CH   2.6644993987597274e-06 6.381454827742098e-07  1.508127506152659e-06  #atdhisto_c12
N    CH1  3.473598766179243e-05  2.897745766558051e-06  7.574982932969631e-06  #atdhisto_c12
N    CH1t 8.855373008130008e-06  7.648582556837471e-05  7.574982932969631e-06  #atdhisto_c12
N    CAH  2.827720357903463e-05  1.2884910181278791e-05 7.574982932969631e-06  #atdhisto_c12
N    CH2  9.554138546078327e-06  2.448580108078591e-06  3.6760332838792072e-06 #atdhisto_c12
N    CAH2 8.20374377950018e-06   1.1964957655417957e-05 3.6760332838792072e-06 #atdhisto_c12
N    CH3  4.737322988859966e-06  9.271725969950735e-07  2.742900219889418e-06  #atdhisto_c12
N    CH2r 6.503393009784176e-06  8.454178454694858e-07  3.2327146659727425e-06 #atdhisto_c12
N    S    1.544133911550011e-06  0.0                    1.544133911550011e-06  #rc12
N    SM   2.064082678151929e-06  2.448580108078591e-06  1.544133911550011e-06  #atdhisto_c12
N    SH   1.2178965067259558e-06 1.0161170406288952e-06 1.544133911550011e-06  #atdhisto_c12
N    H    4.339756224213911e-07  7.654462535149269e-09  2.8298068718749842e-08 #atdhisto_c12
NT   NT   7.013840414318058e-07  0.0                    2.5961659689014112e-06 #atdhisto_c12
NT   NL   4.78449438233876e-07   1.9297259151556835e-07 1.5074430911449656e-06 #atdhisto_c12
NT   NR   5.801734210627211e-07  0.0                    1.9775371185017886e-06 #atdhisto_c12
NT   NZ   4.78449438233876e-07   0.0                    1.5074430911449656e-06 #atdhisto_c12
NT   NE   1.1128214538294811e-06 0.0                    1.5074430911449656e-06 #atdhisto_c12
NT   C    2.448580108078591e-06  2.064082678151929e-06  2.5973446899834983e-06 #atdhisto_c12
NT   CR   1.7356754565546296e-06 0.0                    2.5973446899834983e-06 #atdhisto_c12
NT   CS   1.4558184529108867e-06 0.0                    2.5973446899834983e-06 #atdhisto_c12
NT   CZ   1.7356754565546296e-06 0.0                    2.5973446899834983e-06 #atdhisto_c12
NT   CH   1.2178965067259558e-06 0.0                    2.5973446899834983e-06 #atdhisto_c12
NT   CH1  7.030422589392208e-06  0.0001113988439841668  1.3045874183315057e-05 #atdhisto_c12
NT   CH1t 3.7144078137182355e-06 0.00015106392932930527 1.3045874183315057e-05 #atdhisto_c12
NT   CAH  6.503393009784176e-06  1.8933619871479337e-06 1.3045874183315057e-05 #atdhisto_c12
NT   CH2  2.6644993987597274e-06 5.539580762888729e-05  6.330980299168271e-06  #atdhisto_c12
NT   CAH2 2.064082678151929e-06  3.0296190868820765e-05 6.330980299168271e-06  #atdhisto_c12
NT   CH3  1.8933619871479337e-06 3.7172653432882377e-05 4.723909147084545e-06  #atdhisto_c12
NT   CH2r 2.248809725327641e-06  1.0161170406288952e-06 5.567483012968901e-06  #atdhisto_c12
NT   S    2.6593560553903825e-06 0.0                    2.6593560553903825e-06 #rc12
NT   SM   1.3319957855440268e-06 0.0                    2.6593560553903825e-06 #atdhisto_c12
NT   SH   1.0161170406288952e-06 0.0                    2.6593560553903825e-06 #atdhisto_c12
NT   H    3.778004187152545e-09  8.091373121174105e-08  4.873582520282809e-08  #atdhisto_c12
NL   NL   2.6644993987597274e-06 0.0                    8.75284823952248e-07   #atdhisto_c12
