atp1 atp2 c12                    c12_45                 old_rc12               source
CH2  CH2r 7.596342311330096e-06  1.7356754565546296e-06 1.3576799670467695e-05 #atdhisto_c12
CH2  S    6.485074913093783e-06  0.0                    6.485074913093783e-06  #rc12
CH2  SM   4.030347871778446e-06  0.0                    6.485074913093783e-06  #atdhisto_c12
CH2  SH   3.421320847663108e-06  0.0                    6.485074913093783e-06  #atdhisto_c12
CH2  H    2.9137432184408464e-07 1.1292692029579082e-07 1.1884661956083523e-07 #atdhisto_c12
CAH2 CAH2 7.030422589392208e-06  0.0                    1.5438655320413708e-05 #atdhisto_c12
CAH2 CH3  4.030347871778446e-06  2.4604350727657302e-05 1.151967019963228e-05  #atdhisto_c12
CAH2 CH2r 5.556363657234973e-06  1.9908604884064596e-05 1.3576799670467695e-05 #atdhisto_c12
CAH2 S    6.485074913093783e-06  0.0                    6.485074913093783e-06  #rc12
CAH2 SM   2.897745766558051e-06  0.0                    6.485074913093783e-06  #atdhisto_c12
CAH2 SH   2.448580108078591e-06  3.0296190868820765e-05 6.485074913093783e-06  #atdhisto_c12
CAH2 H    7.703205086354507e-07  9.271725969950735e-07  1.1884661956083523e-07 #atdhisto_c12
CH3  CH3  3.7144078137182355e-06 0.00017027339638628222 8.5954896170802e-06    #atdhisto_c12
CH3  CH2r 4.737322988859966e-06  1.7356754565546296e-06 1.0130432432380583e-05 #atdhisto_c12
CH3  S    4.8388880163656295e-06 0.0                    4.8388880163656295e-06 #rc12
CH3  SM   3.7144078137182355e-06 0.0                    4.8388880163656295e-06 #atdhisto_c12
CH3  SH   3.149574184402289e-06  0.0                    4.8388880163656295e-06 #atdhisto_c12
CH3  H    3.2228956345557457e-07 1.0115434594394737e-07 8.86783099478706e-08   #atdhisto_c12
CH2r CH2r 6.012808612204707e-06  1.7356754565546296e-06 1.1939478242530793e-05 #atdhisto_c12
CH2r S    5.702994277398676e-06  0.0                    5.702994277398676e-06  #rc12
CH2r SM   3.7144078137182355e-06 0.0                    5.702994277398676e-06  #atdhisto_c12
CH2r SH   3.421320847663108e-06  2.248809725327641e-06  5.702994277398676e-06  #atdhisto_c12
CH2r H    5.801734210627211e-07  1.9297259151556835e-07 1.045140727480474e-07  #atdhisto_c12
S    S    2.7240841741462863e-06 0.0                    2.7240841741462863e-06 #rc12
S    SM   2.7240841741462863e-06 0.0                    2.7240841741462863e-06 #rc12
S    SH   2.7240841741462863e-06 0.0                    2.7240841741462863e-06 #rc12
S    H    4.992204405268893e-08  0.0                    4.992204405268893e-08  #rc12
SM   SM   3.7144078137182355e-06 0.0                    2.7240841741462863e-06 #atdhisto_c12
SM   SH   2.6644993987597274e-06 0.0                    2.7240841741462863e-06 #atdhisto_c12
SM   H    1.696526259956281e-08  1.696526259956281e-08  4.992204405268893e-08  #atdhisto_c12
SH   SH   1.4558184529108867e-06 0.0                    2.7240841741462863e-06 #atdhisto_c12
SH   H    1.1471036561996625e-08 1.2594349761073345e-07 4.992204405268893e-08  #atdhisto_c12
H    H    4.543781405690857e-08  8.772792870868534e-09  9.148801296419777e-10  #atdhisto_c12
